"pos.1" "pos.2" "dbn" "dms" "das" "dmin" "ddunn" "pic_name"
1 1 0 0 0 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
2 1 6.92820323027551 2.43027241226035e-05 0.438542082601677 1.71846210283988e-05 0.0881899528366998 "plot_large_p_small_n_30_10_0_1_1.png"
3 1 4.47213595499958 7.06746201940441e-05 0.413029633627814 4.99745031969923e-05 0.120826926169837 "plot_large_p_small_n_30_10_0_1_1.png"
4 1 5.65685424949238 2.2894832918536e-05 0.272541438579225 1.61890916108298e-05 0.0819937847779768 "plot_large_p_small_n_30_10_0_1_1.png"
5 1 5.65685424949238 1.22348575377624e-05 0.476968593083219 8.65135073180312e-06 0.030445566600982 "plot_large_p_small_n_30_10_0_1_1.png"
6 1 6 1.95277359419942e-05 0.245897845175551 1.38081945058044e-05 0.02396415969576 "plot_large_p_small_n_30_10_0_1_1.png"
7 1 5.09901951359278 0.000355691820969888 0.189307034981734 0.000251512098620399 0.0427691985355084 "plot_large_p_small_n_30_10_0_1_1.png"
8 1 6.78232998312527 2.43655434100848e-05 0.286662282836934 1.72290409725662e-05 0.0142649124283144 "plot_large_p_small_n_30_10_0_1_1.png"
9 1 6 1.05248698353575e-05 0.18472757576809 7.44220683168706e-06 0.113325528579022 "plot_large_p_small_n_30_10_0_1_1.png"
10 1 15.3622914957372 0.772440884419683 0.778661075058011 0.546198187438892 1.26498958851372 "plot_large_p_small_n_30_10_0_1_1.png"
11 1 4.47213595499958 1.41463721273703e-05 0.392634619438479 1.00029956604519e-05 0.0529993565373023 "plot_large_p_small_n_30_10_0_1_1.png"
12 1 6 2.44973523965971e-05 0.576368121445003 1.73222440007503e-05 0.114938507383793 "plot_large_p_small_n_30_10_0_1_1.png"
13 1 4.47213595499958 1.16790903507462e-05 0.109102069064446 8.25836398510305e-06 0.0284021799525599 "plot_large_p_small_n_30_10_0_1_1.png"
14 1 5.47722557505166 1.08691826600532e-07 0.386154489161074 7.68567276487886e-08 0.030084303252233 "plot_large_p_small_n_30_10_0_1_1.png"
15 1 3.46410161513775 4.54583404874752e-05 0.410419065053355 3.21439008201807e-05 0.0623983572104676 "plot_large_p_small_n_30_10_0_1_1.png"
16 1 8.48528137423857 6.8434762160934e-07 0.428018191302964 4.8390684392885e-07 0.0180573877398781 "plot_large_p_small_n_30_10_0_1_1.png"
17 1 9.16515138991168 2.41403804640553e-05 0.218628690851755 1.70698267265568e-05 0.0257029394040486 "plot_large_p_small_n_30_10_0_1_1.png"
