id,response,response_no,plot_location,time_taken,conf_level,choice_reason,sample_size,param_value,test_param,p_value,pic_id,pic_name,experiment,difficulty,description
1,TRUE,5,5,23,2,1,30,60_0_1,p_noise_d,NA,1266,plot_large_p_small_n_30_60_0_1_2.png,turk7,2,turk7
1,TRUE,13,13,31,2,1,30,10_0_2,p_noise_d,NA,1254,plot_large_p_small_n_30_10_0_2_1.png,turk7,0,turk7
1,FALSE,5,14,31,1,4,30,60_1_2,p_noise_d,NA,1311,plot_large_p_small_n_30_60_1_2_2.png,turk7,4,turk7
1,FALSE,6,17,29,3,3,30,40_0_2,p_noise_d,NA,1294,plot_large_p_small_n_30_40_0_2_3.png,turk7,3,turk7
1,FALSE,5,15,32,2,3,30,80_0_1,p_noise_d,NA,1269,plot_large_p_small_n_30_80_0_1_2.png,turk7,2,turk7
1,FALSE,5,9,36,2,3,30,100_1_2,p_noise_d,NA,1317,plot_large_p_small_n_30_100_1_2_2.png,turk7,4,turk7
1,TRUE,6,6,65,1,1,30,20_0_2,p_noise_d,NA,1290,plot_large_p_small_n_30_20_0_2_2.png,turk7,1,turk7
1,FALSE,13,15,48,3,3,30,20_1_2,p_noise_d,NA,1305,plot_large_p_small_n_30_20_1_2_2.png,turk7,4,turk7
1,FALSE,1,12,19,2,3,30,80_0_2,p_noise_d,NA,1299,plot_large_p_small_n_30_80_0_2_2.png,turk7,3,turk7
1,TRUE,1,1,19,1,1,30,20_0_2,p_noise_d,NA,1291,plot_large_p_small_n_30_20_0_2_3.png,turk7,1,turk7
1,FALSE,8,1,83,2,3,50,40_0_2,p_noise_d,NA,1321,plot_wasp_30_40_0_2_3.png,turk7,5,turk7
1,FALSE,11,5,31,2,3,30,20_1_1,p_noise_d,NA,1275,plot_large_p_small_n_30_20_1_1_2.png,turk7,4,turk7
2,FALSE,15,16,13,1,3,30,80_1_2,p_noise_d,NA,1313,plot_large_p_small_n_30_80_1_2_1.png,turk7,4,turk7
2,TRUE,12,12,15,1,1,30,60_0_2,p_noise_d,NA,1296,plot_large_p_small_n_30_60_0_2_2.png,turk7,3,turk7
2,TRUE,17,17,11,1,1,30,20_0_1,p_noise_d,NA,1259,plot_large_p_small_n_30_20_0_1_1.png,turk7,1,turk7
2,TRUE,5,5,17,1,1,30,60_0_1,p_noise_d,NA,1266,plot_large_p_small_n_30_60_0_1_2.png,turk7,2,turk7
2,TRUE,10,10,16,1,1,30,10_0_1,p_noise_d,NA,1249,plot_large_p_small_n_30_10_0_1_1.png,turk7,0,turk7
2,FALSE,18,19,26,2,4,30,80_0_2,p_noise_d,NA,1298,plot_large_p_small_n_30_80_0_2_1.png,turk7,3,turk7
2,FALSE,11,9,18,2,1,50,40_1_2,p_noise_d,NA,1323,plot_wasp_30_40_1_2_2.png,turk7,5,turk7
2,FALSE,11,14,60,2,1,30,80_1_1,p_noise_d,NA,1284,plot_large_p_small_n_30_80_1_1_2.png,turk7,4,turk7
2,FALSE,2,19,33,2,1,30,100_0_1,p_noise_d,NA,1271,plot_large_p_small_n_30_100_0_1_1.png,turk7,2,turk7
2,FALSE,15,1,19,2,1,30,100_1_1,p_noise_d,NA,1288,plot_large_p_small_n_30_100_1_1_3.png,turk7,4,turk7
3,FALSE,11,5,323,5,5,30,20_1_1,p_noise_d,NA,1275,plot_large_p_small_n_30_20_1_1_2.png,turk7,4,turk7
3,FALSE,15,6,16,5,5,30,100_1_1,p_noise_d,NA,1287,plot_large_p_small_n_30_100_1_1_2.png,turk7,4,turk7
3,FALSE,7,1,25,5,5,50,40_0_2,p_noise_d,NA,1321,plot_wasp_30_40_0_2_3.png,turk7,5,turk7
3,FALSE,6,9,15,5,5,30,40_0_1,p_noise_d,NA,1263,plot_large_p_small_n_30_40_0_1_2.png,turk7,2,turk7
3,FALSE,20,4,38,5,5,30,40_0_1,p_noise_d,NA,1264,plot_large_p_small_n_30_40_0_1_3.png,turk7,2,turk7
3,FALSE,1,12,23,5,5,30,80_0_2,p_noise_d,NA,1299,plot_large_p_small_n_30_80_0_2_2.png,turk7,3,turk7
3,TRUE,10,10,26,5,5,30,10_0_1,p_noise_d,NA,1249,plot_large_p_small_n_30_10_0_1_1.png,turk7,0,turk7
3,TRUE,9,9,19,5,5,30,20_0_1,p_noise_d,NA,1260,plot_large_p_small_n_30_20_0_1_2.png,turk7,1,turk7
3,FALSE,1,9,61,5,5,30,40_0_2,p_noise_d,NA,1292,plot_large_p_small_n_30_40_0_2_1.png,turk7,3,turk7
3,FALSE,1,20,14,5,5,30,80_1_1,p_noise_d,NA,1283,plot_large_p_small_n_30_80_1_1_1.png,turk7,4,turk7
4,TRUE,12,12,23,5,1,30,10_0_1,p_noise_d,NA,1252,plot_large_p_small_n_30_10_0_1_4.png,turk7,0,turk7
4,FALSE,11,9,75,4,13,50,40_1_2,p_noise_d,NA,1323,plot_wasp_30_40_1_2_2.png,turk7,5,turk7
4,FALSE,3,10,58,4,1,30,20_1_2,p_noise_d,NA,1304,plot_large_p_small_n_30_20_1_2_1.png,turk7,4,turk7
4,FALSE,13,15,53,4,1,30,80_0_1,p_noise_d,NA,1269,plot_large_p_small_n_30_80_0_1_2.png,turk7,2,turk7
4,FALSE,6,15,42,4,13,30,60_0_2,p_noise_d,NA,1297,plot_large_p_small_n_30_60_0_2_3.png,turk7,3,turk7
4,FALSE,3,10,64,5,1,30,60_1_1,p_noise_d,NA,1280,plot_large_p_small_n_30_60_1_1_1.png,turk7,4,turk7
4,TRUE,10,10,35,4,1,30,40_0_1,p_noise_d,NA,1262,plot_large_p_small_n_30_40_0_1_1.png,turk7,2,turk7
4,FALSE,2,9,32,4,13,30,100_1_2,p_noise_d,NA,1317,plot_large_p_small_n_30_100_1_2_2.png,turk7,4,turk7
5,FALSE,19,2,50,4,1,50,40_0_2,p_noise_d,NA,1320,plot_wasp_30_40_0_2_2.png,turk7,5,turk7
5,FALSE,1,12,27,3,1,30,80_0_2,p_noise_d,NA,1299,plot_large_p_small_n_30_80_0_2_2.png,turk7,3,turk7
5,FALSE,11,18,33,4,1,30,80_0_1,p_noise_d,NA,1268,plot_large_p_small_n_30_80_0_1_1.png,turk7,2,turk7
5,TRUE,6,6,15,5,1,30,10_0_1,p_noise_d,NA,1250,plot_large_p_small_n_30_10_0_1_2.png,turk7,0,turk7
5,FALSE,8,5,74,3,2,30,20_1_1,p_noise_d,NA,1274,plot_large_p_small_n_30_20_1_1_1.png,turk7,4,turk7
5,TRUE,5,5,27,4,1,30,60_0_1,p_noise_d,NA,1266,plot_large_p_small_n_30_60_0_1_2.png,turk7,2,turk7
5,TRUE,16,16,31,3,1,30,100_0_2,p_noise_d,NA,1302,plot_large_p_small_n_30_100_0_2_2.png,turk7,3,turk7
5,TRUE,9,9,16,4,1,30,20_0_1,p_noise_d,NA,1260,plot_large_p_small_n_30_20_0_1_2.png,turk7,1,turk7
5,FALSE,3,10,99,4,1,30,60_1_1,p_noise_d,NA,1280,plot_large_p_small_n_30_60_1_1_1.png,turk7,4,turk7
5,FALSE,14,20,16,4,1,30,60_1_1,p_noise_d,NA,1281,plot_large_p_small_n_30_60_1_1_2.png,turk7,4,turk7
6,FALSE,2,12,30,2,3,30,40_1_2,p_noise_d,NA,1307,plot_large_p_small_n_30_40_1_2_1.png,turk7,4,turk7
6,TRUE,18,18,56,1,23,30,60_0_1,p_noise_d,NA,1265,plot_large_p_small_n_30_60_0_1_1.png,turk7,2,turk7
6,TRUE,6,6,38,2,2,30,20_0_2,p_noise_d,NA,1290,plot_large_p_small_n_30_20_0_2_2.png,turk7,1,turk7
6,FALSE,5,2,72,3,3,50,40_0_2,p_noise_d,NA,1320,plot_wasp_30_40_0_2_2.png,turk7,5,turk7
6,FALSE,20,8,53,2,1,30,80_1_2,p_noise_d,NA,1315,plot_large_p_small_n_30_80_1_2_3.png,turk7,4,turk7
6,FALSE,2,19,40,2,1,30,100_0_1,p_noise_d,NA,1271,plot_large_p_small_n_30_100_0_1_1.png,turk7,2,turk7
6,FALSE,17,2,51,2,3,30,20_1_1,p_noise_d,NA,1276,plot_large_p_small_n_30_20_1_1_3.png,turk7,4,turk7
6,FALSE,19,1,42,3,1,50,40_0_2,p_noise_d,NA,1321,plot_wasp_30_40_0_2_3.png,turk7,5,turk7
6,TRUE,5,5,36,2,1,30,80_0_1,p_noise_d,NA,1270,plot_large_p_small_n_30_80_0_1_3.png,turk7,2,turk7
6,FALSE,3,1,78,2,2,30,100_1_2,p_noise_d,NA,1318,plot_large_p_small_n_30_100_1_2_3.png,turk7,4,turk7
6,TRUE,20,20,67,2,4,30,80_0_2,p_noise_d,NA,1300,plot_large_p_small_n_30_80_0_2_3.png,turk7,3,turk7
6,TRUE,1,1,21,2,1,30,20_0_2,p_noise_d,NA,1291,plot_large_p_small_n_30_20_0_2_3.png,turk7,1,turk7
6,FALSE,2,19,66,2,1,30,100_0_1,p_noise_d,NA,1271,plot_large_p_small_n_30_100_0_1_1.png,turk7,2,turk7
6,FALSE,20,9,32,3,3,50,40_1_2,p_noise_d,NA,1323,plot_wasp_30_40_1_2_2.png,turk7,5,turk7
6,TRUE,13,13,36,2,4,30,100_0_2,p_noise_d,NA,1301,plot_large_p_small_n_30_100_0_2_1.png,turk7,3,turk7
6,TRUE,6,6,32,1,4,30,20_0_2,p_noise_d,NA,1290,plot_large_p_small_n_30_20_0_2_2.png,turk7,1,turk7
6,FALSE,3,8,54,4,3,50,40_0_2,p_noise_d,NA,1319,plot_wasp_30_40_0_2_1.png,turk7,5,turk7
6,TRUE,14,14,40,3,3,50,40_1_2,p_noise_d,NA,1322,plot_wasp_30_40_1_2_1.png,turk7,5,turk7
6,TRUE,6,6,26,1,1,30,10_0_1,p_noise_d,NA,1250,plot_large_p_small_n_30_10_0_1_2.png,turk7,0,turk7
6,TRUE,12,12,26,1,1,30,10_0_1,p_noise_d,NA,1252,plot_large_p_small_n_30_10_0_1_4.png,turk7,0,turk7
6,FALSE,9,8,59,2,1,30,40_1_1,p_noise_d,NA,1279,plot_large_p_small_n_30_40_1_1_3.png,turk7,4,turk7
6,FALSE,2,20,64,2,1,30,60_1_1,p_noise_d,NA,1281,plot_large_p_small_n_30_60_1_1_2.png,turk7,4,turk7
6,FALSE,6,2,89,2,3,50,40_0_2,p_noise_d,NA,1320,plot_wasp_30_40_0_2_2.png,turk7,5,turk7
6,FALSE,9,1,94,2,1,30,100_1_2,p_noise_d,NA,1318,plot_large_p_small_n_30_100_1_2_3.png,turk7,4,turk7
6,FALSE,8,10,44,3,3,30,20_1_2,p_noise_d,NA,1304,plot_large_p_small_n_30_20_1_2_1.png,turk7,4,turk7
6,FALSE,3,11,86,1,2,30,60_1_2,p_noise_d,NA,1312,plot_large_p_small_n_30_60_1_2_3.png,turk7,4,turk7
